time, Quad.GPS.X
0.105000,-0.372319
0.205000,0.639983
0.305000,-0.736653
0.404998,0.869303
0.504997,0.180162
0.604996,-0.945331
0.704994,0.887807
0.804993,-0.259833
0.904992,-0.450530
1.004991,-1.571668
1.104996,-0.470622
1.205000,-0.521836
1.305005,0.253473
1.405010,0.472167
1.505014,-0.728204
1.605019,-0.304145
1.705024,0.691280
1.805028,0.977065
1.905033,-0.720010
