MsgID.LOCAL_POSITION,1520489364.4380002,0.1241178,0.0417697,-0.1625974
MsgID.LOCAL_VELOCITY,1520489364.4380002,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520489364.4380002,-121.9939341,37.4137431,0.1620000
MsgID.LOCAL_VELOCITY,1520489364.4380002,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_HOME,1520489364.4390001,-121.9939346,37.4137420,0.0000000
MsgID.STATE,1520489364.4400001,False,False
MsgID.LOCAL_POSITION,1520489364.4430001,0.1190602,0.2031781,-0.1677537
MsgID.LOCAL_VELOCITY,1520489364.4430001,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520489364.4449999,-121.9939323,37.4137431,0.1670000
MsgID.LOCAL_VELOCITY,1520489364.4449999,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520489364.4449999,0.1588807,0.0940479,-0.1715876
MsgID.LOCAL_VELOCITY,1520489364.4449999,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520489364.4460001,-121.9939335,37.4137434,0.1710000
MsgID.LOCAL_VELOCITY,1520489364.4460001,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520489364.4460001,-0.0357396,0.0364819,-0.1696869
MsgID.LOCAL_VELOCITY,1520489364.4460001,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520489364.4470000,-121.9939342,37.4137417,0.1690000
MsgID.LOCAL_VELOCITY,1520489364.4470000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520489364.4480000,-0.1424795,-0.1032785,-0.1582926
MsgID.LOCAL_VELOCITY,1520489364.4480000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520489364.4480000,-121.9939357,37.4137407,0.1580000
MsgID.LOCAL_VELOCITY,1520489364.4480000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_HOME,1520489364.4489999,-121.9939346,37.4137420,0.0000000
MsgID.STATE,1520489364.4499998,False,False
MsgID.LOCAL_POSITION,1520489364.4510000,-0.0476787,0.0112327,-0.1353387
